record_type,candidate,seed,split,dataset,metric,value,threshold,source_constraint_value,analysis_units,raw_ece_15,brier
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,UADFV,frame_tpr_source_fpr_0.01,0.9335912314635719,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,UADFV,frame_tpr_source_fpr_0.001,0.32817537072856223,0.9999877214431763,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DeeperForensics-1.0,unit_f1_source_fixed,0.409282700421941,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DeeperForensics-1.0,unit_eer_descriptive,0.029850746268656705,0.3108736766935808,,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.01,0.8442265795206971,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.001,0.6395891690009337,0.9999877214431763,0.0008934554389099843,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,WildDeepfake,unit_f1_source_fixed,0.8878504672897197,0.4999463762280243,1.0,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,WildDeepfake,unit_eer_descriptive,0.1453416149068323,0.4665979236324347,,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.01,0.4673913043478261,0.9998481273651123,0.009828009828009828,,,
threshold,std_mlp_attn_out_r5_alpha20_p025,3407,target,WildDeepfake,frame_tpr_source_fpr_0.001,0.22581521739130433,0.9999877214431763,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,Celeb-DF-v2,unit_f1_source_fixed,0.9269662921348314,0.500153300372375,0.9929078014184397,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,Celeb-DF-v2,unit_eer_descriptive,0.09481163251817581,0.7232385595125379,,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.7083333333333334,0.999839186668396,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.4088888888888889,0.9999905824661255,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDC,unit_f1_source_fixed,0.765947355940242,0.500153300372375,0.9929078014184397,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDC,unit_eer_descriptive,0.19621438070638733,0.255154037671673,,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDC,frame_tpr_source_fpr_0.01,0.47509840089468564,0.999839186668396,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDC,frame_tpr_source_fpr_0.001,0.29799131457785655,0.9999905824661255,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDCP,unit_f1_source_fixed,0.8701134930643127,0.500153300372375,0.9929078014184397,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDCP,unit_eer_descriptive,0.15645992169791878,0.4459909792349208,,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDCP,frame_tpr_source_fpr_0.01,0.593498807525837,0.999839186668396,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DFDCP,frame_tpr_source_fpr_0.001,0.3830050348909107,0.9999905824661255,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,UADFV,unit_f1_source_fixed,0.8867924528301887,0.500153300372375,0.9929078014184397,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.7656417658616756,,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,UADFV,frame_tpr_source_fpr_0.01,0.9232753062540296,0.999839186668396,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,UADFV,frame_tpr_source_fpr_0.001,0.7253384912959381,0.9999905824661255,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DeeperForensics-1.0,unit_f1_source_fixed,0.6421404682274248,0.500153300372375,0.9929078014184397,,,
threshold,std_attn_out_r30_alpha120_p025,7859,target,DeeperForensics-1.0,unit_eer_descriptive,0.019896399386920435,0.20484562182294516,,,,
